# artifact	state	ABI	recipe	source set	current SHA-256
steamrtarm64/steam-cert-shim.so	build	glibc-aarch64	build-public-native.sh	steam-cert-*-shim.c	03fd94fdb92375fee00d4f813a7e36db912c60ebc54640d1ce06e1fbe3e7b4ae
steamrtarm64/steam-dlmopen-shim.so	build	glibc-aarch64	build-public-native.sh	steam-dlmopen-shim-v2.c	65d2a4a7586626b270a54474c638fa457c38e105e34a47bd0bc853b3352f1a4a
steamrtarm64/steam-helper-shim.so	build	glibc-aarch64	build-public-native.sh	steam-helper-shim.c	c6b9e0f504e3a07c9f349b1f835bbca837f4d9468f7676ee27bfda2760818937
steamrtarm64/steam-module-shim.so	build	glibc-aarch64	build-public-native.sh	steam-module-shim.c	3dce01e9c8821665ded722b1c92309559759c94cfc35f961d4cc43fb3a3616bf
steamrtarm64/steam-open-shim.so	build	glibc-aarch64	build-public-native.sh	steam-open-shim.c	dba672fc545cb55687eaa0394213219da99d755115e7a2b97a85cb752a36dd5b
steamrtarm64/steam-sysv-shim.so	build	glibc-aarch64	build-public-native.sh	steam-sysv-shim.c	0d590d893d1742b64a04488f20c5f39658ae58ca8036cae13fc914f2a0358a1c
steamrtarm64/steam-x11-main-shim.so	build	glibc-aarch64	build-public-native.sh	steam-x11-main-shim.c	d220d067f6d365b8e1ebebd64bc9dea1e19ad43ceed6acf7f7ad9cfb8f1689ff
steam-legacy-tmp-shim.so	build	glibc-aarch64	build-public-native.sh	steam-path-shim.c	030bc6cb8f75bbd539795129bc4be833d7f79ec5e243f98b964a8f33aa55db43
steam-proc-self-shim.so	build	glibc-aarch64	build-public-native.sh	steam-proc-self-shim.c	ef679a60634583495425ed773f1f49a475a06e1a296abfafc19e31d098c9f5e6
steam-unix-socket-shim.so	build	glibc-aarch64	build-public-native.sh	steam-unix-socket-shim.c	f4f6c23d65351025480793e761b430bdf8e62e46f54dfdd46dd666a1be3ed551
steam-native-lsof	build	glibc-aarch64	build-public-native.sh	reference-steamclienttermux/diagnostics/native-lsof.c	a7b02fdf5568a757a422d2f8dcb4e938d5392c11a447f6d3f2e3ca9a90669e5a
steam-bridge/lsteambridge-client	build	bionic-aarch64	build-public-native.sh	steam-bridge/client.c+protocol.h	324e153da57eef853074b9fb8e999d3d2a5d47e1c01c326a125fd4eaefb4fa2c
steam-bridge/lsteambridge-server	build	glibc-aarch64	build-public-native.sh	steam-bridge/server.cpp+native-inc+$STEAMWORKS_SDK_DIR	60a9367e15c0c3343096b53f7ea4a759591fb072bc761765d56655b5bc249100
lsteamclient-bionic-build/lsteamclient.so	delegated	bionic-aarch64	public-source/lsteamclient/build-lsteamclient-public.sh	public-source/lsteamclient prepared source	-
reference-termux-glibc-compat/build/libtgcompat-exec.so	delegated	glibc-aarch64	reference-termux-glibc-compat/Makefile	reference-termux-glibc-compat/src	73cfc2fcfe2bef852e682a8a3345fb823d244e89008c2d4fc3b2bd1c56b656de
reference-termux-glibc-compat/build/libtgcompat-robust.so	delegated	glibc-aarch64	reference-termux-glibc-compat/Makefile	reference-termux-glibc-compat/src	31b47bfc9d86056428d032529723b8c7b446669c7d113dfb04fb2995d47c5ec5
reference-termux-glibc-compat/build/libtgcompat-android-root.so	delegated	glibc-aarch64	reference-termux-glibc-compat/Makefile	reference-termux-glibc-compat/src	fa4e94165257bb4027fc497023f39238ecb63a09581ebba35ce708338542c0f0
reference-termux-glibc-compat/build/libtgcompat-mprotect.so	delegated	glibc-aarch64	reference-termux-glibc-compat/Makefile	reference-termux-glibc-compat/src	e12d25a109641616cd0d629cc2bc3a9801d3bcc9850eebc3702aa23322e81185
reference-termux-glibc-compat/build/libtgcompat-raknet-recv.so	delegated	glibc-aarch64	reference-termux-glibc-compat/Makefile	reference-termux-glibc-compat/src	e4901f3f1702d69ac2458bf8b1a683d8d2826d49cc50876dfc4849b4089c00b0
reference-termux-glibc-compat/build/tgcompatd	delegated	bionic-aarch64	reference-termux-glibc-compat/Makefile	reference-termux-glibc-compat/src	2e500748b3ef78a32629995e30c3444a5bb33917a6a10ba3dec4fc3444162531
tgcompat-glibc/current	external	glibc-aarch64	glibc-packages CI	glibc source+Termux patches	-
steam-native-tmp-shim.so	excluded	glibc-aarch64	reference diagnostic only	reference-steamclienttermux/diagnostics/native-tmp-shim.c	ee07a1f1aca67873a3fd1c65c0fd72952945269ae3101d3fd8d063a626c6359b
steam-x11-connect-shim.so	excluded	glibc-aarch64	obsolete experiment	steam-x11-connect-shim.c	47ac858f83b3a6dd4416b75db78ca46c3aca94a8ddc8115e0c92577ca3f086b5
steam-x11-main-shim.so	excluded	glibc-aarch64	duplicate staging copy	steam-x11-main-shim.c	26d4edd83230a09d00341dcbc8fd5789ab8c6af9e881e414840d2f61e23c2922
